id,Rings
90615,9
90616,10
90617,10
90618,11
90619,8
90620,10
90621,13
90622,6
90623,8
90624,11
90625,12
90626,7
90627,10
90628,13
90629,8
90630,8
90631,13
90632,6
90633,12
90634,11
90635,6
90636,8
90637,10
90638,9
90639,10
90640,11
90641,8
90642,10
90643,6
90644,11
90645,9
90646,9
90647,11
90648,13
90649,13
90650,11
90651,9
90652,9
90653,14
90654,7
90655,8
90656,10
90657,8
90658,7
90659,10
90660,7
90661,8
90662,7
90663,11
90664,8
90665,13
90666,9
90667,6
90668,10
90669,9
90670,10
90671,11
90672,9
90673,14
90674,8
90675,6
90676,11
90677,10
90678,5
90679,9
90680,10
90681,10
90682,15
90683,9
90684,12
90685,10
90686,7
90687,11
90688,9
90689,11
90690,20
90691,8
90692,11
90693,12
90694,10
90695,9
90696,10
90697,7
90698,10
90699,6
90700,11
90701,11
90702,10
90703,13
90704,6
90705,13
90706,11
90707,6
90708,9
90709,10
90710,10
90711,9
90712,9
90713,15
90714,7
90715,8
90716,6
90717,10
90718,5
90719,6
90720,11
90721,9
90722,9
90723,8
90724,10
90725,7
90726,8
90727,9
90728,10
90729,11
90730,11
90731,6
90732,8
90733,12
90734,9
90735,8
90736,8
90737,6
90738,7
90739,15
90740,11
90741,6
90742,9
90743,13
90744,7
90745,8
90746,8
90747,4
90748,14
90749,9
90750,5
90751,7
90752,9
90753,8
90754,8
90755,9
90756,9
90757,12
90758,9
90759,8
90760,8
90761,10
90762,10
90763,7
90764,14
90765,13
90766,7
90767,15
90768,14
90769,6
90770,11
90771,11
90772,6
90773,8
90774,8
90775,10
90776,8
90777,11
90778,11
90779,10
90780,11
90781,9
90782,8
90783,12
90784,7
90785,8
90786,6
90787,9
90788,4
90789,11
90790,9
90791,7
90792,7
90793,6
90794,6
90795,12
90796,11
90797,11
90798,11
90799,8
90800,16
90801,11
90802,7
90803,11
90804,18
90805,10
90806,9
90807,10
90808,10
90809,11
90810,10
90811,10
90812,6
90813,10
90814,7
90815,7
90816,6
90817,11
90818,9
90819,7
90820,7
90821,10
90822,7
90823,6
90824,12
90825,8
90826,6
90827,5
90828,11
90829,12
90830,10
90831,9
90832,9
90833,13
90834,11
90835,10
90836,9
90837,6
90838,13
90839,8
90840,9
90841,11
90842,12
90843,12
90844,13
90845,10
90846,11
90847,7
90848,11
90849,10
90850,9
90851,15
90852,6
90853,12
90854,13
90855,7
90856,9
90857,11
90858,13
90859,11
90860,12
90861,10
90862,12
90863,9
90864,9
90865,14
90866,14
90867,12
90868,12
90869,8
90870,12
90871,11
90872,14
90873,8
90874,14
90875,9
90876,11
90877,9
90878,8
90879,10
90880,8
90881,13
90882,11
90883,11
90884,15
90885,11
90886,12
90887,6
90888,9
90889,14
90890,10
90891,11
90892,10
90893,5
90894,11
90895,11
90896,7
90897,6
90898,6
90899,13
90900,11
90901,13
90902,9
90903,7
90904,7
90905,8
90906,7
90907,12
90908,5
90909,14
90910,10
90911,8
90912,14
90913,9
90914,9
90915,7
90916,9
90917,12
90918,8
90919,8
90920,12
90921,7
90922,8
90923,10
90924,10
90925,11
90926,10
90927,11
90928,13
90929,13
90930,10
90931,12
90932,12
90933,13
90934,14
90935,9
90936,11
90937,12
90938,9
90939,9
90940,8
90941,7
90942,5
90943,12
90944,7
90945,10
90946,10
90947,11
90948,11
90949,11
90950,11
90951,10
90952,8
90953,7
90954,11
90955,9
90956,8
90957,10
90958,4
90959,8
90960,7
90961,7
90962,11
90963,6
90964,12
90965,7
90966,11
90967,10
90968,14
90969,10
90970,10
90971,7
90972,10
90973,11
90974,8
90975,11
90976,8
90977,9
90978,6
90979,11
90980,9
90981,11
90982,12
90983,5
90984,10
90985,6
90986,12
90987,9
90988,8
90989,12
90990,10
90991,7
90992,5
90993,9
90994,11
90995,7
90996,14
90997,10
90998,7
90999,6
91000,12
91001,7
91002,9
91003,11
91004,10
91005,8
91006,11
91007,8
91008,8
91009,13
91010,10
91011,10
91012,9
91013,11
91014,9
91015,9
91016,7
91017,11
91018,7
91019,11
91020,8
91021,10
91022,9
91023,6
91024,7
91025,13
91026,9
91027,7
91028,14
91029,11
91030,9
91031,9
91032,7
91033,5
91034,12
91035,7
91036,12
91037,7
91038,12
91039,12
91040,9
91041,7
91042,11
91043,12
91044,7
91045,8
91046,8
91047,7
91048,10
91049,11
91050,12
91051,9
91052,10
91053,11
91054,9
91055,8
91056,13
91057,13
91058,16
91059,12
91060,10
91061,8
91062,15
91063,9
91064,11
91065,9
91066,10
91067,9
91068,9
91069,9
91070,9
91071,8
91072,6
91073,6
91074,12
91075,7
91076,15
91077,9
91078,7
91079,7
91080,9
91081,8
91082,10
91083,10
91084,8
91085,11
91086,11
91087,14
91088,10
91089,11
91090,11
91091,9
91092,10
91093,7
91094,6
91095,9
91096,11
91097,16
91098,7
91099,7
91100,10
91101,12
91102,8
91103,9
91104,10
91105,15
91106,11
91107,7
91108,10
91109,12
91110,15
91111,9
91112,7
91113,9
91114,7
91115,12
91116,6
91117,9
91118,7
91119,8
91120,10
91121,10
91122,7
91123,10
91124,13
91125,8
91126,8
91127,6
91128,7
91129,8
91130,10
91131,8
91132,13
91133,10
91134,10
91135,7
91136,11
91137,13
91138,8
91139,9
91140,9
91141,9
91142,10
91143,7
91144,11
91145,12
91146,6
91147,11
91148,14
91149,8
91150,15
91151,11
91152,10
91153,10
91154,8
91155,10
91156,7
91157,11
91158,9
91159,9
91160,9
91161,10
91162,11
91163,6
91164,9
91165,11
91166,10
91167,9
91168,14
91169,10
91170,7
91171,9
91172,10
91173,11
91174,6
91175,10
91176,10
91177,12
91178,5
91179,12
91180,12
91181,10
91182,11
91183,7
91184,6
91185,11
91186,10
91187,9
91188,9
91189,11
91190,6
91191,9
91192,13
91193,8
91194,8
91195,8
91196,8
91197,8
91198,7
91199,7
91200,10
91201,10
91202,11
91203,7
91204,7
91205,16
91206,13
91207,13
91208,10
91209,10
91210,7
91211,10
91212,10
91213,6
91214,14
91215,9
91216,6
91217,9
91218,10
91219,11
91220,11
91221,7
91222,11
91223,12
91224,10
91225,12
91226,12
91227,7
91228,10
91229,10
91230,11
91231,11
91232,7
91233,13
91234,7
91235,10
91236,10
91237,8
91238,8
91239,9
91240,9
91241,13
91242,10
91243,12
91244,13
91245,12
91246,7
91247,9
91248,11
91249,11
91250,7
91251,13
91252,12
91253,8
91254,7
91255,11
91256,11
91257,7
91258,8
91259,13
91260,10
91261,9
91262,9
91263,6
91264,9
91265,7
91266,11
91267,8
91268,7
91269,9
91270,17
91271,7
91272,9
91273,13
91274,10
91275,10
91276,13
91277,12
91278,11
91279,9
91280,9
91281,8
91282,11
91283,9
91284,10
91285,11
91286,8
91287,9
91288,10
91289,10
91290,7
91291,7
91292,20
91293,12
91294,9
91295,12
91296,8
91297,13
91298,13
91299,8
91300,7
91301,9
91302,9
91303,10
91304,10
91305,11
91306,6
91307,9
91308,11
91309,12
91310,11
91311,8
91312,11
91313,10
91314,6
91315,9
91316,7
91317,10
91318,8
91319,7
91320,9
91321,8
91322,4
91323,9
91324,7
91325,7
91326,11
91327,13
91328,11
91329,9
91330,10
91331,9
91332,15
91333,8
91334,10
91335,5
91336,12
91337,11
91338,9
91339,11
91340,8
91341,6
91342,10
91343,8
91344,7
91345,7
91346,8
91347,11
91348,9
91349,10
91350,5
91351,12
91352,10
91353,10
91354,8
91355,7
91356,11
91357,12
91358,17
91359,11
91360,6
91361,10
91362,8
91363,11
91364,8
91365,8
91366,10
91367,11
91368,7
91369,9
91370,11
91371,9
91372,7
91373,11
91374,7
91375,9
91376,9
91377,11
91378,12
91379,7
91380,10
91381,11
91382,5
91383,7
91384,9
91385,11
91386,9
91387,11
91388,14
91389,6
91390,8
91391,8
91392,11
91393,9
91394,10
91395,10
91396,10
91397,12
91398,12
91399,8
91400,7
91401,10
91402,13
91403,6
91404,9
91405,12
91406,12
91407,7
91408,9
91409,12
91410,9
91411,11
91412,12
91413,9
91414,8
91415,10
91416,9
91417,10
91418,11
91419,11
91420,12
91421,10
91422,10
91423,15
91424,7
91425,10
91426,8
91427,9
91428,10
91429,7
91430,12
91431,7
91432,15
91433,6
91434,10
91435,11
91436,11
91437,11
91438,8
91439,11
91440,12
91441,8
91442,10
91443,14
91444,10
91445,10
91446,7
91447,15
91448,6
91449,10
91450,14
91451,12
91452,9
91453,9
91454,10
91455,18
91456,10
91457,6
91458,11
91459,11
91460,10
91461,10
91462,8
91463,12
91464,9
91465,9
91466,11
91467,18
91468,11
91469,13
91470,7
91471,9
91472,5
91473,10
91474,10
91475,10
91476,14
91477,7
91478,9
91479,5
91480,13
91481,13
91482,10
91483,8
91484,6
91485,10
91486,10
91487,10
91488,13
91489,17
91490,11
91491,7
91492,11
91493,7
91494,11
91495,10
91496,11
91497,8
91498,8
91499,9
91500,10
91501,11
91502,11
91503,9
91504,7
91505,8
91506,12
91507,10
91508,8
91509,10
91510,11
91511,11
91512,10
91513,8
91514,8
91515,9
91516,10
91517,5
91518,12
91519,7
91520,7
91521,12
91522,8
91523,10
91524,7
91525,11
91526,8
91527,9
91528,13
91529,8
91530,6
91531,11
91532,16
91533,11
91534,9
91535,9
91536,12
91537,13
91538,8
91539,9
91540,11
91541,9
91542,11
91543,17
91544,8
91545,6
91546,11
91547,9
91548,11
91549,8
91550,9
91551,8
91552,9
91553,11
91554,7
91555,8
91556,6
91557,10
91558,14
91559,8
91560,10
91561,9
91562,10
91563,8
91564,10
91565,12
91566,6
91567,11
91568,11
91569,4
91570,10
91571,9
91572,13
91573,8
91574,10
91575,10
91576,9
91577,11
91578,9
91579,11
91580,11
91581,10
91582,10
91583,9
91584,10
91585,12
91586,12
91587,6
91588,12
91589,6
91590,10
91591,6
91592,7
91593,6
91594,8
91595,8
91596,7
91597,9
91598,10
91599,11
91600,9
91601,7
91602,11
91603,8
91604,10
91605,9
91606,10
91607,9
91608,8
91609,14
91610,12
91611,9
91612,12
91613,10
91614,12
91615,10
91616,8
91617,6
91618,9
91619,9
91620,7
91621,10
91622,8
91623,15
91624,9
91625,6
91626,10
91627,10
91628,11
91629,11
91630,10
91631,9
91632,9
91633,10
91634,8
91635,10
91636,7
91637,11
91638,9
91639,10
91640,9
91641,6
91642,11
91643,9
91644,9
91645,6
91646,6
91647,12
91648,9
91649,10
91650,9
91651,9
91652,10
91653,7
91654,7
91655,14
91656,6
91657,8
91658,6
91659,10
91660,11
91661,9
91662,7
91663,5
91664,10
91665,9
91666,16
91667,7
91668,17
91669,11
91670,7
91671,7
91672,7
91673,11
91674,10
91675,9
91676,10
91677,14
91678,6
91679,10
91680,12
91681,11
91682,9
91683,5
91684,11
91685,7
91686,8
91687,10
91688,17
91689,10
91690,8
91691,5
91692,12
91693,10
91694,10
91695,8
91696,7
91697,10
91698,5
91699,10
91700,8
91701,13
91702,11
91703,11
91704,7
91705,8
91706,9
91707,10
91708,10
91709,11
91710,11
91711,15
91712,11
91713,12
91714,14
91715,10
91716,13
91717,13
91718,10
91719,12
91720,10
91721,11
91722,10
91723,14
91724,7
91725,12
91726,9
91727,5
91728,9
91729,12
91730,9
91731,15
91732,7
91733,12
91734,12
91735,7
91736,7
91737,8
91738,9
91739,10
91740,12
91741,11
91742,10
91743,8
91744,10
91745,7
91746,12
91747,8
91748,10
91749,15
91750,9
91751,7
91752,6
91753,7
91754,13
91755,9
91756,10
91757,11
91758,11
91759,11
91760,14
91761,8
91762,10
91763,6
91764,11
91765,10
91766,8
